age_calBP,palaeo_co2,palaeo_MGS_temp,modern_co2,modern_MGS_temp,recon_mi,recon_Pann,corr_mi,est_Pann
25290,181.675,9.121652544583293,311.765,13.5442481884058,0.4221757,319.326,0.5196829379835444,329.976101493475
25380,183.01999999999998,9.352006042964604,311.765,13.5442481884058,0.379677,293.5128,0.48618837408565085,316.9185340210423
25472,183.01999999999998,9.473376772419329,311.765,13.5442481884058,0.4338403,324.3084,0.546445285954795,334.0877442699774
25561,183.38,11.083272256240296,311.765,13.5442481884058,0.363955,295.7344,0.5731358519897555,356.58322243951955
25654,184.95999999999998,10.801333033154268,311.765,13.5442481884058,0.3700087,300.9135,0.5552463075176729,345.7151220778503
25741,184.95999999999998,10.906940353985753,311.765,13.5442481884058,0.4037598,316.4436,0.5952170734468321,366.6659713246149
25834,185.53,10.64927591891592,311.765,13.5442481884058,0.364672,297.2957,0.5383534347328767,338.25919346002655
25928,185.53,10.588668117290766,311.765,13.5442481884058,0.3628614,292.4988,0.5329136053883613,335.00555155371126
26014,185.53,11.165762451403937,311.765,13.5442481884058,0.3878914,315.2895,0.592726498947348,365.638877307337
26106,184.54500000000002,10.960727347732993,311.765,13.5442481884058,0.3790444,305.1368,0.5756727874480466,355.7723756526038
26204,184.57,11.381895166818895,311.765,13.5442481884058,0.4025573,327.5677,0.6247552607278537,382.8346219696091
26292,184.17000000000002,9.936640261758024,311.765,13.5442481884058,0.4431722,346.4735,0.5786691276411718,357.93070960942475
26385,184.89,9.25705403658777,311.765,13.5442481884058,0.501499,377.5408,0.5916827131117379,357.69336209709326
26474,185.76,9.027001302556428,311.765,13.5442481884058,0.4896647,376.6521,0.5626715717019483,351.7017696448812
26563,185.51,9.415805429486372,311.765,13.5442481884058,0.3801492,293.6164,0.4800468110504174,319.064001125969
26656,185.475,9.288181909054233,311.765,13.5442481884058,0.4618198,345.8594,0.5523869249208154,346.83697922693364
26791,185.935,9.26365714459621,311.765,13.5442481884058,0.4019588,301.4909,0.4905894516159112,322.4792434129026
26882,187.255,9.55296993327309,311.765,13.5442481884058,0.4152275,317.4304,0.5153621348447259,333.33831642009517
26926,187.255,9.689454517579877,311.765,13.5442481884058,0.3564121,274.7229,0.46583766995270914,315.3585519020135
26973,187.735,10.389917365159457,311.765,13.5442481884058,0.3836743,306.6781,0.5323769065476586,355.5509910409672
27015,187.735,10.936895239060929,311.765,13.5442481884058,0.3831848,310.0836,0.564813276965864,369.52461940052507
27100,186.27,11.129035667074671,311.765,13.5442481884058,0.5658541,444.3265,0.7647901876756994,463.91503089958803
27209,192.495,11.424671631432656,311.765,13.5442481884058,0.4112296,340.5462,0.6027686114923841,390.72613218933606
27270,192.495,11.41141954894658,311.765,13.5442481884058,0.494691,374.1085,0.6853062941117565,428.6173439854977
27322,191.005,11.62677384966629,311.765,13.5442481884058,0.9801671,711.9451,1.1909619648630585,632.8763874556143
27374,191.005,12.094544274529866,311.765,13.5442481884058,0.9541025,689.6757,1.1964967458651157,641.9453128581648
27426,191.95,11.947412298459872,311.765,13.5442481884058,0.885604,721.7586,1.1136261431071135,650.5561297428704
