"age_calBP","past_temp","past_co2","modern_co2","present_t","recon_mi","corrected_mi","corrected_P_ann"
18402,11.03844,188.34,332.1725,11.03844,0.502894,0.864204136076305,840.674956903046
18466,12.1807,187.27,332.1725,12.1807,0.381802,0.7519038006605,734.646339973578
18530,10.51409,187.67,332.1725,10.51409,0.435265,0.794385276250933,768.965823440294
18666,12.243875,193.9,332.1725,12.243875,0.278691,0.618547623209846,601.326719023901
18796,11.12836,192.97,332.1725,11.12836,0.398897,0.73883094066096,776.14135028719
18939,10.85212,190.605,332.1725,10.85212,0.461861,0.811439148563877,760.021994654215
19087,10.72219,191.9,332.1725,10.72219,0.409936,0.752107528752628,773.929391060363
19227,10.32451,191.335,332.1725,10.32451,0.375349,0.716636411041369,727.662350297272
19370,10.94298,191.55,332.1725,10.94298,0.472478,0.818969025101604,765.004686744076
19504,9.740445,190.235,332.1725,9.740445,0.48956,0.83487276194941,798.173558915764
19639,10.050925,191.42,332.1725,10.050925,0.467545,0.809246736800162,896.28561146136
19768,10.67402,193.6,332.1725,10.67402,0.47228,0.808859791349981,861.022581781814
19886,12.18029,196.06,332.1725,12.18029,0.465912,0.801284969959072,885.728152416253
20003,10.97717,194.89,332.1725,10.97717,0.461431,0.794317537463381,940.74859000815
20106,10.556615,192.095,332.1725,10.556615,0.427358,0.768214085795595,799.003192028559
20206,11.882545,192.095,332.1725,11.882545,0.431126,0.780040509699805,805.698332396773
20295,9.2690875,190.23,332.1725,9.2690875,0.511353,0.854593826566613,946.956602220673
20372,11.081285,190.23,332.1725,11.081285,0.420676,0.772137739999032,745.093940350025
20448,10.07101,191.96,332.1725,10.07101,0.458223,0.797623098084312,884.190974236162
20517,10.921845,191.96,332.1725,10.921845,0.423512,0.76695531216256,874.414749600966
20590,9.857285,190.845,332.1725,9.857285,0.489315,0.83279946768442,946.37703403122
20666,12.753365,190.845,332.1725,12.753365,0.381058,0.739541156799586,709.014982686195
20745,9.5324,190.21,332.1725,9.5324,0.509561,0.854306927993624,918.919672489271
20837,9.162833,191.765,332.1725,9.162833,0.491845,0.827851534389826,840.369160595759
20940,10.53111,191.765,332.1725,10.53111,0.457853,0.80066849067454,819.063547283114
21048,9.6128695,189.635,332.1725,9.6128695,0.48118,0.828007703025006,918.040935973115
21173,10.00638,189.225,332.1725,10.00638,0.491841,0.842896642594687,985.4282145213
21301,10.426695,188.645,332.1725,10.426695,0.430404,0.784768770634595,913.388332370394
21433,8.32988385,186.235,332.1725,8.32988385,0.49085,0.844734067213484,1014.17135475042
21574,11.40008,186.595,332.1725,11.40008,0.417916,0.786767462451159,735.924161743795
21716,10.64523,186.595,332.1725,10.64523,0.460863,0.826054749067038,947.678626440453
21866,8.68089215,189.37,332.1725,8.68089215,0.455234,0.797319276156567,787.639015808444
22031,10.720585,189.08,332.1725,10.720585,0.430449,0.7847699626378,931.842886226869
22197,9.2474915,191.27,332.1725,9.2474915,0.408191,0.744552631113136,761.879092115323
22379,9.802635,187.02,332.1725,9.802635,0.528548,0.888586090965222,1011.95636786212
22560,10.65066,184.945,332.1725,10.65066,0.425217,0.796606994277752,867.011722809189
22748,10.275895,190.01,332.1725,10.275895,0.386687,0.733378927290059,662.739284566498
22952,11.93345,189.4,332.1725,11.93345,0.415948,0.776139938586577,846.072171986781
23152,12.00133,189.34,332.1725,12.00133,0.42524,0.786375075528217,913.568340672386
23368,13.18134,190.155,332.1725,13.18134,0.37145,0.735534823623181,824.125730808745
23577,13.33028,187.385,332.1725,13.33028,0.317124,0.692926317756658,826.031956241233
23788,12.119755,185.56,332.1725,12.119755,0.37794,0.755047093982313,800.720710595065
24012,13.30399,183.905,332.1725,13.30399,0.263031,0.652818705000312,745.515481475544
24226,13.457145,185.705,332.1725,13.457145,0.315264,0.699477951128834,735.44760368574
24450,13.995055,183.65,332.1725,13.995055,0.321666,0.719620011115571,676.350997185014
24662,13.712425,180.57,332.1725,13.712425,0.299384,0.709038656309844,769.490155729682
24871,12.357,180.63,332.1725,12.357,0.34461,0.744898532705632,1018.99421635151
25088,9.1635905,180.69,332.1725,9.1635905,0.477244,0.859400637191229,817.61046154251
25291,11.272245,181.675,332.1725,11.272245,0.449034,0.839780716258873,912.963279734971
25501,11.086455,183.02,332.1725,11.086455,0.440271,0.823427030809626,887.182772280832
25699,11.214125,184.96,332.1725,11.214125,0.495095,0.871998916487402,1057.55814420437
25896,11.45953,185.53,332.1725,11.45953,0.381754,0.754651134425138,919.336327921012
26104,11.427615,184.545,332.1725,11.427615,0.426935,0.805210441749847,985.865312803873
26412,11.348065,184.89,332.1725,11.348065,0.429776,0.806072866470189,922.087821303358
26614,11.676505,185.475,332.1725,11.676505,0.405258,0.78048966638349,845.207882308039
26829,12.480595,185.935,332.1725,12.480595,0.451586,0.83157246539835,942.147778632685
27049,11.751265,186.83,332.1725,11.751265,0.415035,0.785092804193048,915.371278339999
27274,11.10397,192.495,332.1725,11.10397,0.404285,0.746139530478789,725.97659005191
27506,12.480025,191.38,332.1725,12.480025,0.396843,0.75167228527178,739.210803111825
27733,12.31724,189.3,332.1725,12.31724,0.400278,0.762994303678428,656.279787524323
27974,12.569895,189.29,332.1725,12.569895,0.371344,0.735013500245109,646.792641097191
28219,10.97212,191.705,332.1725,10.97212,0.375762,0.719334742344835,666.453123334574
28821,11.61668,193.89,332.1725,11.61668,0.36887,0.707225101639113,650.979932387927
29398,11.09693,189.52,332.1725,11.09693,0.524119,0.881342947021511,891.138094051862
30419,10.13446,184.3,332.1725,10.13446,0.448462,0.820031345998087,922.424180356081
31388,11.638685,189.215,332.1725,11.638685,0.379583,0.73770788197084,724.923741354415
32106,10.132605,195.165,332.1725,10.132605,0.484969,0.81262651782092,803.092207614699
32889,9.834265,196.7,332.1725,9.834265,0.548047,0.869634262781073,837.504984538895
33545,10.880855,197.465,332.1725,10.880855,0.429742,0.751206393802829,810.610051999146
34631,10.377045,199.59,332.1725,10.377045,0.458898,0.770225484237714,920.624036783353
35945,10.751385,201.045,332.1725,10.751385,0.492588,0.80115356068962,915.812715442673
36937,9.2787795,203.51,332.1725,9.2787795,0.51482,0.807568636525943,783.416244822843
38485,9.198735,208.655,332.1725,9.198735,0.49809,0.772129057655263,815.583697869265
39103,8.39263933,205.8,332.1725,8.39263933,0.546192,0.827557827493549,845.818305378527
39681,11.449825,196.185,332.1725,11.449825,0.427039,0.75665532720769,718.452152532953
40002,13.25768,195.075,332.1725,13.25768,0.314463,0.656797180666061,704.064989583655
40253,9.932895,195.795,332.1725,9.932895,0.546388,0.871972828846463,1015.42859573343
40657,8.272382,200.975,332.1725,8.272382,0.500606,0.797523119852995,823.103773571647
41029,10.13713,201.25,332.1725,10.13713,0.433944,0.737287699442678,778.834295580594
